Country.of.Origin,CountryID
Ethiopia,1
Guatemala,2
Brazil,3
Peru,4
United States,5
United States (Hawaii),6
Indonesia,7
China,8
Costa Rica,9
Mexico,10
Uganda,11
Honduras,12
Taiwan,13
Nicaragua,14
"Tanzania, United Republic Of",15
Kenya,16
Thailand,17
Colombia,18
Panama,19
Papua New Guinea,20
El Salvador,21
Japan,22
Ecuador,23
United States (Puerto Rico),24
Haiti,25
Burundi,26
Vietnam,27
Philippines,28
Rwanda,29
Malawi,30
Laos,31
Zambia,32
Myanmar,33
Mauritius,34
Cote d?Ivoire,35
Unknown,36
India,37
