Farm.Name,Altitude,Region,altitude_low_meters,altitude_high_meters,altitude_mean_meters,FarmID
metad plc,1950-2200,guji-hambela,1950.0,2200.0,2075.0,1
"san marcos barrancas ""san cristobal cuch",1600 - 1800 m,Unknown,1600.0,1800.0,1700.0,2
yidnekachew dabessa coffee plantation,1800-2200,oromia,1800.0,2200.0,2000.0,3
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4
aolme,1570-1700,oromia,1570.0,1700.0,1635.0,5
aolme,1570-1700,oromiya,1570.0,1700.0,1635.0,6
tulla coffee farm,1795-1850,"snnp/kaffa zone,gimbowereda",1795.0,1850.0,1822.5,7
fahem coffee plantation,1855-1955,oromia,1855.0,1955.0,1905.0,8
el filo,meters above sea level: 1.872,antioquia,1872.0,1872.0,1872.0,9
los cedros,meters above sea level: 1.943,antioquia,1943.0,1943.0,1943.0,10
arianna farms,2000 ft,kona,609.6,609.6,609.6,11
el águila,meters above sea level: 2.080,antioquia,2080.0,2080.0,2080.0,12
toarco jaya,1200-1800m,sulawesi,1200.0,1800.0,1500.0,13
Unknown,Unknown,yirgacheffe,Unknown,Unknown,Unknown,14
echo coffee,1450,yunnan,1450.0,1450.0,1450.0,15
drima zede,1700-2000m,gedio,1700.0,2000.0,1850.0,16
el rodeo,meters above sea level: 2.019,antioquia,2019.0,2019.0,2019.0,17
several,1300 msnm,san ramon,1300.0,1300.0,1300.0,18
la herradura,1320,xalapa,1320.0,1320.0,1320.0,19
la curva,meters above sea level: 2.112,antioquia,2112.0,2112.0,2112.0,20
Unknown,Unknown,sidamo,Unknown,Unknown,Unknown,21
fazenda kaquend,1250m,south of minas,1250.0,1250.0,1250.0,22
chebonet (23) women coffee,1950,kapchorwa eastern,1950.0,1950.0,1950.0,23
los hicaques,1400,comayagua,1400.0,1400.0,1400.0,24
tsoustructive garden 鄒築園,1200,"leye, alishan township, chiayi county",1200.0,1200.0,1200.0,25
fazenda recreio,1300,vale da grama,1300.0,1300.0,1300.0,26
exclusive coffees s.a.,1300,west and central valley,1300.0,1300.0,1300.0,27
haider abamecha coffee plantation,1750-1800,oromia,1750.0,1800.0,1775.0,28
kangunu,1800,muranga,1800.0,1800.0,1800.0,29
Unknown,Unknown,kona,Unknown,Unknown,Unknown,30
kona pacific farmers cooperative,Unknown,kona,Unknown,Unknown,Unknown,31
"phone number | 0911-51-08-01, email | at",Unknown,yirgacheffe,Unknown,Unknown,Unknown,32
la primavera,meters above sea level: 1.941,antioquia,1941.0,1941.0,1941.0,33
co-op #12,1300,chiang rai,1300.0,1300.0,1300.0,34
pereira estate coffee,1.2,sul de minas - carmo de minas,12.0,12.0,12.0,35
sunshine valley estate 向陽高山咖啡,1000 m,natou county,1000.0,1000.0,1000.0,36
jungle estate,1754,nyeri,1754.0,1754.0,1754.0,37
kaasayi,Unknown,eastern uganda,Unknown,Unknown,Unknown,38
ecobio colombia,900-1500m,tolima,900.0,1500.0,1200.0,39
kianjavi,1520m-2200m,kiambu,1520.0,2200.0,1860.0,40
Unknown,1400-1900m,"sipi, mt elgon",1400.0,1900.0,1650.0,41
contact | sidacoop@ethionet.net,1500-2000 m,sidamo,1500.0,2000.0,1750.0,42
hula daddy kona coffee,1400ft,kona,426.72,426.72,426.72,43
la esperanza y anexos,Unknown,nuevo oriente,Unknown,Unknown,Unknown,44
sipi organic coffee project,1400-1900,eastern,1400.0,1900.0,1650.0,45
Unknown,1800 msnm,huila,1800.0,1800.0,1800.0,46
la berlina estate,1600,boquete,1600.0,1600.0,1600.0,47
Unknown,1800-2000,oromia,1800.0,2000.0,1900.0,48
valparaiso,5000,acatenango,1524.0,1524.0,1524.0,49
finca el limon,4650,nuevo oriente,1417.32,1417.32,1417.32,50
seid damtew coffee planation,Unknown,addis ababa,Unknown,Unknown,Unknown,51
Unknown,Unknown,cajamarca,Unknown,Unknown,Unknown,52
tairora cherry – bonta,1700 mts,eastern highlands province,1700.0,1700.0,1700.0,53
el majahual,1500 meters,apaneca,1500.0,1500.0,1500.0,54
finca la esmeralda,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",1300.0,1400.0,1350.0,55
elida estate,1680,boquete,1680.0,1680.0,1680.0,56
inoi,1900m,kirinyaga,1900.0,1900.0,1900.0,57
buginyanya,1600,bulambuli eastern region,1600.0,1600.0,1600.0,58
asoperc,5600-5760 metros,huehuetenango,1706.88,1755.648,1731.264,59
chesiyo farmer group,1950,kapchorwa,1950.0,1950.0,1950.0,60
fazenda serra de três barras,1250m,south of minas,1250.0,1250.0,1250.0,61
sierra nevada,1400 m,apaneca,1400.0,1400.0,1400.0,62
pu'er city longke coffee co.ltd,1700,yunnan,1700.0,1700.0,1700.0,63
el injerto s.a.,1770,huehuetenango,1770.0,1770.0,1770.0,64
several,1300,west valley,1300.0,1300.0,1300.0,65
Unknown,above 1600 m,central kenya,1600.0,1600.0,1600.0,66
Unknown,above 1200 m,central kenya,1200.0,1200.0,1200.0,67
phone number | 0911-513824 email: gmt.ft,Unknown,yirgacheffe,Unknown,Unknown,Unknown,68
la esperanza y anexos,Unknown,oriente,Unknown,Unknown,Unknown,69
various,1550 msnm,santander,1550.0,1550.0,1550.0,70
Unknown,1550,santander,1550.0,1550.0,1550.0,71
Unknown,1250-1400 meter,lintong,1250.0,1400.0,1325.0,72
coop. hoja blanca - fedecocagua,1400 msm,huehuetenango,1400.0,1400.0,1400.0,73
seid damtew coffee planation,Unknown,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",Unknown,Unknown,Unknown,74
Unknown,2.560 msnm,pasto,2560.0,2560.0,2560.0,75
aricha coop,1700,aricha,1700.0,1700.0,1700.0,76
Unknown,2136 msnm,cundinamarca,2136.0,2136.0,2136.0,77
mount elgon area,1800,eastern uganda,1800.0,1800.0,1800.0,78
Unknown,Unknown,huila,Unknown,Unknown,Unknown,79
estate la patricia,1900,tarrazu,1900.0,1900.0,1900.0,80
various,1300,veracruz,1300.0,1300.0,1300.0,81
Unknown,-1,Unknown,1.0,1.0,1.0,82
machure estate,1580,central kenya,1580.0,1580.0,1580.0,83
sitío são geraldo,1100m,grama valley,1100.0,1100.0,1100.0,84
kassandra,1400 masl,mexico,1400.0,1400.0,1400.0,85
