Certification.Body,CertificationID
METAD Agricultural Development plc,1
Specialty Coffee Institute of Asia,2
Almacafé,3
Yunnan Coffee Exchange,4
Blossom Valley International,5
Specialty Coffee Association,6
AMECAFE,7
NUCOFFEE,8
Uganda Coffee Development Authority,9
Specialty Coffee Association of Costa Rica,10
Kenya Coffee Traders Association,11
Africa Fine Coffee Association,12
Asociacion Nacional Del Café,13
Centro Agroecológico del Café A.C.,14
Instituto Hondureño del Café,15
Salvadoran Coffee Council,16
Specialty Coffee Association of Indonesia,17
Brazil Specialty Coffee Association,18
Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,19
Tanzanian Coffee Board,20
Torch Coffee Lab Yunnan,21
Coffee Quality Institute,22
Asociación de Cafés Especiales de Nicaragua,23
"Blossom Valley International
",24
