SpeciesID,OwnerID,CountryID,FarmID,CompanyID,ProcessingID,CertificationID,ColorID,Harvest.Year,Grading.Date,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,Expiration,CoffeeID
1,1.0,1.0,1.0,1.0,1.0,1,1.0,2014,"April 4th, 2015",8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,0,"April 3rd, 2016",1
1,1.0,1.0,1.0,1.0,1.0,1,1.0,2014,"April 4th, 2015",8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,1,"April 3rd, 2016",2
1,2.0,2.0,,,,2,,,"May 31st, 2010",8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,0,"May 31st, 2011",3
1,3.0,1.0,3.0,,3.0,1,1.0,2014,"March 26th, 2015",8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,2,"March 25th, 2016",4
1,1.0,1.0,1.0,1.0,1.0,1,1.0,2014,"April 4th, 2015",8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,2,"April 3rd, 2016",5
1,4.0,3.0,,,3.0,3,3.0,2013,"September 3rd, 2013",8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,1,"September 3rd, 2014",6
1,5.0,4.0,,,1.0,3,3.0,2012,"September 17th, 2012",8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,0,"September 17th, 2013",7
1,6.0,1.0,5.0,,,4,,March 2010,"September 2nd, 2010",8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,0,"September 2nd, 2011",8
1,6.0,1.0,6.0,,,4,,March 2010,"September 2nd, 2010",8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,0,"September 2nd, 2011",9
1,7.0,1.0,7.0,6.0,3.0,1,1.0,2014,"March 30th, 2015",8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,4,"March 29th, 2016",10
1,8.0,1.0,8.0,,3.0,1,,2014,"March 27th, 2015",8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,1,"March 26th, 2016",11
1,9.0,5.0,9.0,8.0,1.0,5,,2014,"March 13th, 2015",8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0,0.0,0,"March 12th, 2016",12
1,9.0,5.0,10.0,8.0,1.0,5,,2014,"March 13th, 2015",8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0,0.0,0,"March 12th, 2016",13
1,2.0,6.0,11.0,,,2,,Sept 2009 - April 2010,"May 31st, 2010",8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,2,"May 31st, 2011",14
1,6.0,1.0,6.0,,,4,,March 2010,"August 31st, 2010",8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,2,"August 31st, 2011",15
1,9.0,5.0,12.0,8.0,1.0,5,,2014,"March 13th, 2015",8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0,0.0,0,"March 12th, 2016",16
1,2.0,7.0,13.0,,,2,,May-August,"May 31st, 2010",8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,0,"May 31st, 2011",17
1,6.0,1.0,,,,4,,2009/2010,"June 16th, 2010",8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,2,"June 16th, 2011",18
