Company,ICO.Number,CompanyID
metad agricultural developmet plc,2014/2015,1
richmond investment-coffee department,Unknown,2
diamond enterprise plc,2014/15,3
coffee quality institute,unknown,4
yunnan coffee exchange,Unknown,5
essence coffee,100181006,6
the coffee source inc.,5-562-0015,7
Unknown,0,8
nucoffee,002/1251/0073,9
kabum trading company,0,10
taiwan coffee laboratory,Taiwan,11
nucoffee,002/1251/0068,12
exclusive coffees s.a.,5818009,13
c dorman ltd,0,14
kona pacific farmers cooperative,220452,15
lanna cafe,01-011-512,16
keremara limited,NIL,17
nucoffee,002/1251/0071,18
lusso coffee lab,NONE,19
kawacom uganda ltd,x,20
"unex guatemala, s.a.",11/23/0252,21
kawacom uganda ltd,0,22
exportadora de cafe condor s.a,3-68-0215,23
ce specialty s.a.,Unknown,24
sertrasa,11/1886/03,25
unicafe,11-853-155,26
seid damtew coffee planation,490,27
atlantic specialty coffee,09 – 060-24,28
lusso coffee lab,Unknown,29
kona pacific farmers cooperative,220451,30
essence coffee,290503,31
essence coffee,3707361715,32
assefa belay coffee producer,2015,33
kyagalanyi coffee ltd,0,34
exportcafe,11-52-492,35
great lakes coffee,0,36
kona pacific farmers cooperative,220453,37
nucoffee,002/1251/0072,38
essence coffee,11999144,39
the coffee source inc.,5-562-0006,40
the coffee source inc.,5-562-0016,41
rashid moledina & co. (msa) ltd,37/672/0017,42
ibero kenya limited,37/00597/0252 - AB FAQ Q certified,43
exportadora de cafe condor s.a,3-68-0102,44
ecom cca sa,3-79-0634,45
"nomura trading co., ltd.",Unknown,46
the coffee source inc.,11-30-0593,47
seid damtew coffee planation,495,48
carcafe ltda,3-59-3115,49
kona pacific farmers cooperative,KP 022014,50
carcafe ltda,3-59-0951,51
kyagalanyi coffee ltd,Unknown,52
racafe & cia s.c.a,3-37-1829,53
bold coast coffee,Unknown,54
"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",Unknown,55
rashid moledina & co. (msa) ltd,37/672/0016,56
nucoffee,002/1251/0242,57
racafe & cia s.c.a,3-37-0277,58
racafe & cia s.c.a,3-37-4824,59
taylor winch (t) ltd,C47,60
racafe & cia s.c.a,3-37-0416,61
Unknown,1104385872,62
nucoffee,002/1251/0070,63
nucoffee,002/1251/0066,64
kona pacific farmers cooperative,220457,65
matsuzawa coffee,Unknown,66
c dorman ltd,KE 9143,67
cadexsa,13-63-174,68
