Farm.Name,Altitude,Region,altitude_low_meters,altitude_high_meters,altitude_mean_meters,FarmID
metad plc,1830.9876708757638,guji-hambela,1950.0,2200.0,2075.0,1
Unknown,1830.9876708757638,Peru,1812.3495975560081,1849.6257441955195,1830.9876708757638,2
tulla coffee farm,1830.9876708757638,"snnp/kaffa zone,gimbowereda",1795.0,1850.0,1822.5,3
el filo,1830.9876708757638,antioquia,1872.0,1872.0,1872.0,4
los cedros,1830.9876708757638,antioquia,1943.0,1943.0,1943.0,5
el águila,1830.9876708757638,antioquia,2080.0,2080.0,2080.0,6
echo coffee,1830.9876708757638,yunnan,1450.0,1450.0,1450.0,7
drima zede,1830.9876708757638,gedio,1700.0,2000.0,1850.0,8
el rodeo,1830.9876708757638,antioquia,2019.0,2019.0,2019.0,9
several,1830.9876708757638,san ramon,1300.0,1300.0,1300.0,10
la herradura,1830.9876708757638,xalapa,1320.0,1320.0,1320.0,11
la curva,1830.9876708757638,antioquia,2112.0,2112.0,2112.0,12
fazenda kaquend,1830.9876708757638,south of minas,1250.0,1250.0,1250.0,13
chebonet (23) women coffee,1830.9876708757638,kapchorwa eastern,1950.0,1950.0,1950.0,14
tsoustructive garden 鄒築園,1830.9876708757638,"leye, alishan township, chiayi county",1200.0,1200.0,1200.0,15
fazenda recreio,1830.9876708757638,vale da grama,1300.0,1300.0,1300.0,16
exclusive coffees s.a.,1830.9876708757638,west and central valley,1300.0,1300.0,1300.0,17
kangunu,1830.9876708757638,muranga,1800.0,1800.0,1800.0,18
Unknown,1830.9876708757638,kona,1812.3495975560081,1849.6257441955195,1830.9876708757638,19
la primavera,1830.9876708757638,antioquia,1941.0,1941.0,1941.0,20
co-op #12,1830.9876708757638,chiang rai,1300.0,1300.0,1300.0,21
sunshine valley estate 向陽高山咖啡,1830.9876708757638,natou county,1000.0,1000.0,1000.0,22
jungle estate,1830.9876708757638,nyeri,1754.0,1754.0,1754.0,23
ecobio colombia,1830.9876708757638,tolima,900.0,1500.0,1200.0,24
kianjavi,1830.9876708757638,kiambu,1520.0,2200.0,1860.0,25
Unknown,1830.9876708757638,"sipi, mt elgon",1400.0,1900.0,1650.0,26
la esperanza y anexos,1830.9876708757638,nuevo oriente,1812.3495975560081,1849.6257441955195,1830.9876708757638,27
sipi organic coffee project,1830.9876708757638,eastern,1400.0,1900.0,1650.0,28
Unknown,1830.9876708757638,huila,1800.0,1800.0,1800.0,29
la berlina estate,1830.9876708757638,boquete,1600.0,1600.0,1600.0,30
valparaiso,1830.9876708757638,acatenango,1524.0,1524.0,1524.0,31
finca el limon,1830.9876708757638,nuevo oriente,1417.32,1417.32,1417.32,32
seid damtew coffee planation,1830.9876708757638,addis ababa,1812.3495975560081,1849.6257441955195,1830.9876708757638,33
el majahual,1830.9876708757638,apaneca,1500.0,1500.0,1500.0,34
finca la esmeralda,1830.9876708757638,"ataco, apaneca - ilamatepec mountain range",1300.0,1400.0,1350.0,35
elida estate,1830.9876708757638,boquete,1680.0,1680.0,1680.0,36
inoi,1830.9876708757638,kirinyaga,1900.0,1900.0,1900.0,37
Unknown,1830.9876708757638,oromia,1800.0,2000.0,1900.0,38
buginyanya,1830.9876708757638,bulambuli eastern region,1600.0,1600.0,1600.0,39
asoperc,1830.9876708757638,huehuetenango,1706.88,1755.648,1731.264,40
chesiyo farmer group,1830.9876708757638,kapchorwa,1950.0,1950.0,1950.0,41
fazenda serra de três barras,1830.9876708757638,south of minas,1250.0,1250.0,1250.0,42
pu'er city longke coffee co.ltd,1830.9876708757638,yunnan,1700.0,1700.0,1700.0,43
el injerto s.a.,1830.9876708757638,huehuetenango,1770.0,1770.0,1770.0,44
several,1830.9876708757638,west valley,1300.0,1300.0,1300.0,45
Unknown,1830.9876708757638,central kenya,1600.0,1600.0,1600.0,46
Unknown,1830.9876708757638,central kenya,1200.0,1200.0,1200.0,47
various,1830.9876708757638,santander,1550.0,1550.0,1550.0,48
Unknown,1830.9876708757638,santander,1550.0,1550.0,1550.0,49
Unknown,1830.9876708757638,lintong,1250.0,1400.0,1325.0,50
coop. hoja blanca - fedecocagua,1830.9876708757638,huehuetenango,1400.0,1400.0,1400.0,51
seid damtew coffee planation,1830.9876708757638,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",1812.3495975560081,1849.6257441955195,1830.9876708757638,52
Unknown,1830.9876708757638,pasto,2560.0,2560.0,2560.0,53
Unknown,1830.9876708757638,cundinamarca,2136.0,2136.0,2136.0,54
mount elgon area,1830.9876708757638,eastern uganda,1800.0,1800.0,1800.0,55
Unknown,1830.9876708757638,huila,1812.3495975560081,1849.6257441955195,1830.9876708757638,56
estate la patricia,1830.9876708757638,tarrazu,1900.0,1900.0,1900.0,57
various,1830.9876708757638,veracruz,1300.0,1300.0,1300.0,58
machure estate,1830.9876708757638,central kenya,1580.0,1580.0,1580.0,59
sitío são geraldo,1830.9876708757638,grama valley,1100.0,1100.0,1100.0,60
Unknown,1830.9876708757638,huila,1600.0,1950.0,1775.0,61
baishengcun coffee 百勝村咖啡莊園,1830.9876708757638,natou county,800.0,800.0,800.0,62
hasambo amcos,1830.9876708757638,mbeya,1620.0,1620.0,1620.0,63
el suspiro,1830.9876708757638,coatepec,1200.0,1200.0,1200.0,64
fazenda grota funda,1830.9876708757638,south of minas,1200.0,1200.0,1200.0,65
sitio claro,1830.9876708757638,south of minas,1000.0,1000.0,1000.0,66
shi fang yuan 十方源,1830.9876708757638,"dongshan dist., tainan city 臺南市東山區",350.0,350.0,350.0,67
mt.elgon bugisu shamba 2,1830.9876708757638,eastern,1400.0,1900.0,1650.0,68
matsuzawa coffee,1830.9876708757638,thailand,1812.3495975560081,1849.6257441955195,1830.9876708757638,69
karatina,1830.9876708757638,nyeri,1800.0,1800.0,1800.0,70
cerro bueno,1830.9876708757638,marcala,1450.0,1450.0,1450.0,71
monterrey,1830.9876708757638,apaneca,1350.0,1350.0,1350.0,72
sran temanggung plantation,1830.9876708757638,"temanggung, indonesia",1200.0,1200.0,1200.0,73
ada farm,1830.9876708757638,ada okinawa japan,170.0,170.0,170.0,74
rio jorco,1830.9876708757638,tarrazu,1150.0,1150.0,1150.0,75
san diego buena vista,1830.9876708757638,acatenango,1600.0,1600.0,1600.0,76
coopetarrazú,1830.9876708757638,tarrazu,1750.0,1750.0,1750.0,77
moplaco,1830.9876708757638,yirgacheffe,1900.0,1900.0,1900.0,78
finca salaca las brisas,1830.9876708757638,costa rica,1750.0,1750.0,1750.0,79
various,1830.9876708757638,west valley,1200.0,1200.0,1200.0,80
dragon 龍咖啡,1830.9876708757638,taichung xinshe 台中市新社區,1000.0,1000.0,1000.0,81
Unknown,1830.9876708757638,nyeri,2000.0,2000.0,2000.0,82
agropecuaria quiagral,1830.9876708757638,oriente,1310.64,1310.64,1310.64,83
"el nogal, la higuera, los laureles",1830.9876708757638,el remudadero,1200.0,1200.0,1200.0,84
Unknown,1830.9876708757638,mbale,1700.0,1850.0,1775.0,85
Unknown,1830.9876708757638,santander,1500.0,1500.0,1500.0,86
blend,1830.9876708757638,nyeri,1800.0,1800.0,1800.0,87
el morito,1830.9876708757638,jalapa,1524.0,1524.0,1524.0,88
el papaturro,1830.9876708757638,oriente,1219.2,1219.2,1219.2,89
Unknown,1830.9876708757638,huila,1600.0,1900.0,1750.0,90
Unknown,1830.9876708757638,Kenya,1812.3495975560081,1849.6257441955195,1830.9876708757638,91
Unknown,1830.9876708757638,huila,1750.0,1750.0,1750.0,92
la chaparral,1830.9876708757638,tres rios,1450.0,1700.0,1575.0,93
various,1830.9876708757638,huila,1800.0,1800.0,1800.0,94
fazenda vista alegre,1830.9876708757638,mountains of minas gerais,1100.0,1100.0,1100.0,95
Unknown,1830.9876708757638,valle central,1200.0,1200.0,1200.0,96
kawacom sipi project,1830.9876708757638,eastern uganda,1750.0,1750.0,1750.0,97
menglian ban’an coffee processing factory,1830.9876708757638,yunnan,1680.0,1680.0,1680.0,98
coopetarrazú,1830.9876708757638,tarrazu,1700.0,1700.0,1700.0,99
Unknown,1830.9876708757638,cauca,1800.0,1800.0,1800.0,100
"puer jiangcheng fuwang coffee biotechnology co., ltd",1830.9876708757638,yunnan,1100.0,1100.0,1100.0,101
el sacramento,1830.9876708757638,oriente,1310.64,1310.64,1310.64,102
rumukia farmers,1830.9876708757638,nyeri,2000.0,2000.0,2000.0,103
la barranca,1830.9876708757638,hustusco,1350.0,1350.0,1350.0,104
finca el retiro,1830.9876708757638,jaltenango,1500.0,1500.0,1500.0,105
