Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Expiration_Year,Year_Difference,Grading.Year,Grading.Quarter,Grading.Month,Grading.Day,Grading.Weekday,Expiration.Year,Expiration.Quarter,Expiration.Month,Expiration.Day,Expiration.Weekday
1,Arabica,metad plc,Ethiopia,metad plc,Unknown,metad plc,2014/2015,metad agricultural developmet plc,1830.9876708757638,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,2014.0,2015-04-04,metad plc,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,2016-04-03,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950.0,2200.0,2075.0,2016,2.0,2015,2,4,4,6,2016,2,4,3,7
4,Arabica,metad plc,Ethiopia,metad plc,Unknown,metad plc,2014/2015,metad agricultural developmet plc,1830.9876708757638,guji-hambela,METAD PLC,300,60.0,METAD Agricultural Development plc,2014.0,2015-04-04,metad plc,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,2016-04-03,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1950.0,2200.0,2075.0,2016,2.0,2015,2,4,4,6,2016,2,4,3,7
6,Arabica,hugo valdivia,Peru,Unknown,Unknown,hvc,Unknown,richmond investment-coffee department,1830.9876708757638,Peru,HVC,100,69.0,Specialty Coffee Institute of Asia,2012.0,2012-09-17,Hugo Valdivia,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish-Green,0,2013-09-17,Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,1812.3495975560081,1849.6257441955195,1830.9876708757638,2013,1.0,2012,3,9,17,1,2013,3,9,17,2
9,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,Unknown,tulla coffee farm,2014/15,diamond enterprise plc,1830.9876708757638,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60.0,METAD Agricultural Development plc,2014.0,2015-03-30,Diamond Enterprise Plc,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,2016-03-29,METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,1795.0,1850.0,1822.5,2016,2.0,2015,1,3,30,1,2016,1,3,29,2
11,Arabica,cqi q coffee sample representative,antioquia,el filo,Unknown,Unknown,unknown,coffee quality institute,1830.9876708757638,antioquia,Alfredo De Jesús López Pérez,10,1.0,Almacafé,2014.0,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1872.0,1872.0,1872.0,2016,2.0,2015,1,3,13,5,2016,1,3,12,6
12,Arabica,cqi q coffee sample representative,antioquia,los cedros,Unknown,Unknown,unknown,coffee quality institute,1830.9876708757638,antioquia,Jorge Walter Restrepo,10,1.0,Almacafé,2014.0,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1943.0,1943.0,1943.0,2016,2.0,2015,1,3,13,5,2016,1,3,12,6
15,Arabica,cqi q coffee sample representative,antioquia,el águila,Unknown,Unknown,unknown,coffee quality institute,1830.9876708757638,antioquia,María Leticia Diosa,10,1.0,Almacafé,2014.0,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0,0.0,Unknown,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2080.0,2080.0,2080.0,2016,2.0,2015,1,3,13,5,2016,1,3,12,6
18,Arabica,yunnan coffee exchange,China,echo coffee,YNC-06114,echo coffee mill,Unknown,yunnan coffee exchange,1830.9876708757638,yunnan,Echo Coffee,3,60.0,Yunnan Coffee Exchange,2015.0,2016-04-07,Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,Green,0,2017-04-07,Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1450.0,1450.0,1450.0,2017,2.0,2016,2,4,7,4,2017,2,4,7,5
19,Arabica,essencecoffee,Ethiopia,drima zede,Unknown,drima zede,100181006,essence coffee,1830.9876708757638,gedio,LevelUp,250,60.0,Blossom Valley International,2014.0,2015-03-25,EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0,0.0,Unknown,8,2016-03-24,Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1700.0,2000.0,1850.0,2016,2.0,2015,1,3,25,3,2016,1,3,24,4
20,Arabica,cqi q coffee sample representative,antioquia,el rodeo,Unknown,Unknown,unknown,coffee quality institute,1830.9876708757638,antioquia,Nicolás Rueda Urrego,10,1.0,Almacafé,2014.0,2015-03-13,CQI Q Coffee Sample Representative,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0,0.0,None,0,2016-03-12,Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2019.0,2019.0,2019.0,2016,2.0,2015,1,3,13,5,2016,1,3,12,6
