Certification.Body,CertificationID
METAD Agricultural Development plc,1
Specialty Coffee Association,2
Specialty Coffee Institute of Asia,3
Ethiopia Commodity Exchange,4
Almacafé,5
Yunnan Coffee Exchange,6
Blossom Valley International,7
AMECAFE,8
NUCOFFEE,9
Uganda Coffee Development Authority,10
Instituto Hondureño del Café,11
Specialty Coffee Association of Costa Rica,12
Kenya Coffee Traders Association,13
Africa Fine Coffee Association,14
Asociacion Nacional Del Café,15
Centro Agroecológico del Café A.C.,16
Salvadoran Coffee Council,17
Specialty Coffee Association of Indonesia,18
Brazil Specialty Coffee Association,19
Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,20
Tanzanian Coffee Board,21
Central De Organizaciones Productoras De Café y Cacao Del Perú - Central Café & Cacao,22
Torch Coffee Lab Yunnan,23
Coffee Quality Institute,24
Asociación de Cafés Especiales de Nicaragua,25
"Blossom Valley International
",26
