SpeciesID,VarietyID,OwnerID,CountryID,FarmID,CompanyID,ProcessingID,CertificationID,ColorID,Harvest.Year,Grading.Date,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Category.Two.Defects,Expiration,CoffeeID
1,1,1,1,1,1,1,1,1,2014,2015-04-04,300,60.0,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,0,2016-04-03,1
1,2,1,1,1,1,1,1,1,2014,2015-04-04,300,60.0,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,1,2016-04-03,2
1,3,2,2,2,2,2,2,2,2010,2010-05-31,5,1.0,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,0,2011-05-31,3
1,1,3,1,3,3,3,1,1,2014,2015-03-26,320,60.0,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,2,2016-03-25,4
1,2,1,1,1,1,1,1,1,2014,2015-04-04,300,60.0,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,2,2016-04-03,5
1,1,4,3,4,2,3,3,3,2013,2013-09-03,100,30.0,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,1,2014-09-03,6
1,2,5,4,4,4,1,3,3,2012,2012-09-17,100,69.0,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,0,2013-09-17,7
1,1,6,1,5,5,2,4,2,2010,2010-09-02,300,60.0,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,0,2011-09-02,8
1,1,6,1,6,5,2,4,2,2010,2010-09-02,300,60.0,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,0,2011-09-02,9
1,2,7,1,7,6,3,1,1,2014,2015-03-30,50,60.0,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,4,2016-03-29,10
1,1,8,1,8,7,3,1,2,2014,2015-03-27,300,60.0,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,1,2016-03-26,11
1,2,9,5,9,8,1,5,2,2014,2015-03-13,10,1.0,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0,0.0,0,2016-03-12,12
1,2,9,5,10,8,1,5,2,2014,2015-03-13,10,1.0,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0,0.0,0,2016-03-12,13
1,1,2,6,11,2,2,2,2,2010,2010-05-31,1,1.0,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,2,2011-05-31,14
1,1,6,1,6,5,2,4,2,2010,2010-08-31,300,60.0,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,2,2011-08-31,15
1,2,9,5,12,8,1,5,2,2014,2015-03-13,10,1.0,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0,0.0,0,2016-03-12,16
1,1,2,7,13,2,2,2,2,2010,2010-05-31,1,2.0,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,0,2011-05-31,17
1,1,6,1,14,9,2,4,2,2010,2010-06-16,150,6.0,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,2,2011-06-16,18
1,4,10,8,15,10,1,6,1,2015,2016-04-07,3,60.0,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,0,2017-04-07,19
1,5,11,1,16,11,3,7,2,2014,2015-03-25,250,60.0,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0,0.0,8,2016-03-24,20
1,2,9,5,17,8,1,5,4,2014,2015-03-13,10,1.0,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0,0.0,0,2016-03-12,21
1,6,12,9,18,12,1,2,1,2014,2014-04-02,250,1.360776,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,2,2015-04-02,22
1,2,13,10,19,13,1,8,1,2012,2012-07-26,14,1.0,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,0,2013-07-26,23
1,2,9,5,20,8,1,5,2,2014,2015-03-13,10,1.0,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0,0.0,0,2016-03-12,24
1,1,4,1,21,2,3,3,3,2013,2013-09-03,100,60.0,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,1,2014-09-03,25
1,3,14,3,22,14,3,9,1,2011,2011-12-03,3,60.0,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,2,2012-12-02,26
1,1,6,1,21,15,2,4,2,2010,2010-06-16,150,6.0,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,2,2011-06-16,27
1,7,15,11,23,16,1,10,1,2013,2014-06-26,100,60.0,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,1,2015-06-26,28
1,6,16,12,24,17,2,11,1,2016,2017-05-18,275,69.0,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,3,2018-05-18,29
1,8,17,13,25,18,4,2,1,2015,2016-05-18,20,50.0,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,0,2017-05-18,30
1,1,18,14,4,19,2,2,2,2010,2010-05-18,275,6.0,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,2,2011-05-18,31
1,1,19,15,4,20,3,3,3,2012,2013-09-03,100,60.0,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,1,2014-09-03,32
1,3,14,3,26,21,3,9,1,2011,2011-12-03,29,60.0,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,2,2012-12-02,33
1,6,20,9,27,22,1,12,5,2015,2015-12-03,250,0.907184,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,0,2016-12-02,34
1,1,21,1,28,23,3,1,1,2014,2015-03-27,320,60.0,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,3,2016-03-26,35
1,9,22,16,29,24,1,13,5,2013,2014-05-30,320,1.0,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,1,2015-05-30,36
1,10,23,6,30,25,3,2,2,2012,2012-04-06,10,45.3592,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,4,2013-04-06,37
1,1,23,6,31,26,2,2,2,2010,2011-01-28,25,45.3592,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,2,0.0,1,2012-01-28,38
1,1,6,1,32,27,2,4,2,2010,2010-06-17,300,6.0,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,2,2011-06-17,39
1,2,9,5,33,8,1,5,2,2014,2015-03-13,10,1.0,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0.0,0,2016-03-12,40
1,6,24,17,34,28,1,2,1,2012,2012-04-12,53,1.0,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,9,2013-04-12,41
1,11,25,3,35,29,2,2,2,2010,2011-01-04,300,60.0,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,2,2012-01-04,42
1,11,25,3,35,29,2,2,2,2010,2011-01-04,300,60.0,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,3,2012-01-04,43
1,3,17,13,36,18,5,2,1,2015,2015-06-10,10,15.0,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,0,2016-06-09,44
1,12,26,16,37,30,3,13,3,2014,2015-01-29,12,60.0,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,2,2016-01-29,45
1,3,14,3,22,31,5,9,5,2011,2011-12-03,7,60.0,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,2,2012-12-02,46
1,1,27,11,38,32,5,10,2,2014,2014-10-01,1,60.0,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0,0.0,0,2015-10-01,47
1,6,28,18,39,33,1,2,1,2013,2014-03-20,1,2.0,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,1,2015-03-20,48
1,12,28,16,40,33,1,2,1,2013,2014-02-06,1,1.0,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,1,2015-02-06,49
1,2,29,11,41,34,1,14,5,2012,2012-02-13,1,60.0,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,0,2013-02-12,50
1,1,6,1,42,35,2,4,2,2010,2010-06-17,300,6.0,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,4,2011-06-17,51
1,1,2,6,43,2,2,2,2,2010,2010-05-31,1,2.0,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0,0.0,0,2011-05-31,52
1,3,30,2,44,36,1,15,1,2016,2016-05-16,80,69.0,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,3,2017-05-16,53
1,7,31,11,45,37,3,10,1,2013,2014-06-30,1,60.0,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,0,2015-06-30,54
1,6,32,18,46,38,1,5,5,2013,2013-07-26,275,70.0,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,7.92,85.92,0.0,1,0.0,0,2014-07-26,55
1,13,33,19,47,39,1,12,3,2017,2017-10-09,37,60.0,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.08,0,1.0,0,2018-10-09,56
1,1,34,1,48,40,1,1,1,2014,2015-04-04,320,60.0,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,4,2016-04-03,57
1,3,30,2,49,41,1,15,1,2012,2012-07-03,150,1.0,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,0.0,3,2013-07-03,58
1,14,30,2,50,42,1,15,3,2012,2012-06-05,275,1.0,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,0.0,1,2013-06-05,59
1,6,35,1,51,43,3,1,4,2017,2017-06-23,320,19200.0,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,8.0,85.75,0.09,0,4.0,7,2018-06-23,60
1,1,36,4,52,44,1,2,1,2013,2014-01-22,280,2.26796,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,8.0,85.75,0.1,4,0.0,6,2015-01-22,61
1,1,37,20,53,45,1,2,3,2012,2012-10-25,7,60.0,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,0.0,1,2013-10-25,62
1,3,38,21,54,46,1,2,5,2013,2013-03-18,275,2.0,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,0.0,3,2014-03-18,63
1,3,28,21,55,47,5,2,4,2012,2013-01-12,19,1.0,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,0,2014-01-12,64
1,10,23,6,30,48,3,2,2,2012,2012-04-06,8,45.3592,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,8.0,85.58,0.0,0,0.0,1,2013-04-06,65
1,6,11,19,56,49,3,7,2,2014,2015-05-23,100,60.0,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,0.0,2,2016-05-22,66
1,12,11,16,57,50,3,7,1,2014,2015-05-23,16,60.0,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,0.0,3,2016-05-22,67
1,2,39,1,48,51,3,1,1,2015,2015-03-31,320,60.0,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,0.0,7,2016-03-30,68
1,7,40,11,58,52,1,10,1,2013,2014-06-26,320,60.0,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,0.0,1,2015-06-26,69
1,3,30,2,59,53,1,15,1,2013,2013-02-26,250,69.0,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,0.0,1,2014-02-26,70
1,1,39,1,48,51,1,1,1,2015,2015-03-31,320,60.0,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,0.0,18,2016-03-30,71
1,7,27,11,60,54,1,10,1,2013,2014-06-26,150,60.0,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,0.0,5,2015-06-26,72
1,10,23,6,30,55,3,2,2,2012,2012-04-06,8,45.3592,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,8.25,85.42,0.0,4,0.0,6,2013-04-06,73
1,3,14,3,61,56,5,9,5,2011,2011-12-03,5,60.0,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,1,2012-12-02,74
1,1,2,21,62,57,2,2,2,2010,2010-05-31,2,1.0,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,7.92,85.42,0.01,0,0.0,0,2011-05-31,75
1,4,10,8,63,10,3,6,1,2015,2016-04-06,3,60.0,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,0,2017-04-06,76
1,15,11,2,64,58,3,7,1,2014,2015-05-23,36,30.0,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,0.0,1,2016-05-22,77
1,6,12,9,65,59,1,2,3,2014,2014-05-01,250,1.360776,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0.0,0,2015-05-01,78
1,6,12,9,18,60,1,2,3,2014,2014-05-01,250,1.360776,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,0.0,2,2015-05-01,79
1,9,41,16,66,61,1,13,1,2012,2013-04-19,20,60.0,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,0.0,2,2014-04-19,80
1,9,42,16,67,62,1,13,1,2012,2013-03-12,300,60.0,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,0.0,6,2014-03-12,81
1,1,6,1,68,63,2,4,2,2010,2010-06-17,360,6.0,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,8.08,85.33,0.05,0,0.0,2,2011-06-17,82
1,16,6,1,14,64,2,4,2,2010,2010-06-17,300,6.0,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,8.0,85.33,0.1,0,0.0,3,2011-06-17,83
1,3,30,2,69,65,2,15,1,2016,2016-04-27,250,69.0,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.25,0.1,0,2.0,2,2017-04-27,84
1,6,32,18,70,66,1,5,1,2015,2015-04-08,275,70.0,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,0,2016-04-07,85
1,6,43,18,71,67,3,5,1,2014,2014-01-17,250,70.0,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,0.0,2,2015-01-17,86
1,17,44,7,72,68,5,2,1,2012,2012-11-26,54,60.0,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,3,2013-11-26,87
1,6,12,2,73,69,1,2,2,2012,2012-01-18,250,1.0,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,0.0,7,2013-01-17,88
1,2,35,1,74,70,3,1,1,2016,2016-08-09,320,19200.0,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,7.83,85.08,0.11,0,1.0,8,2017-08-09,89
1,6,45,18,75,71,3,5,2,2015,2015-08-18,250,70.0,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0.0,0,2016-08-17,90
1,1,46,1,76,72,3,2,1,2014,2014-10-07,100,60.0,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,7,2015-10-07,91
1,10,47,6,30,73,3,2,3,2014,2014-03-10,12,45.3592,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,2,2015-03-10,92
